"","id","name_long","bev_total","bev_male","bev_female"
"765","08327018","Geisingen, Stadt",6202,3171,3031
"766","08327019","Gosheim",3880,1948,1932
"767","08327020","Gunningen",737,377,360
"768","08327023","Hausen ob Verena",776,396,380
"769","08327025","Immendingen",6259,3109,3150
"770","08327027","Irndorf",693,345,348
"771","08327029","Königsheim",579,302,277
"772","08327030","Kolbingen",1251,620,631
"773","08327033","Mahlstetten",813,418,395
"774","08327036","Mühlheim an der Donau, Stadt",3607,1797,1810
"775","08327038","Neuhausen ob Eck",3808,1897,1911
"776","08327040","Reichenbach am Heuberg",515,256,259
"777","08327041","Renquishausen",753,389,364
"778","08327046","Spaichingen, Stadt",13084,6514,6570
"779","08327048","Talheim",1224,635,589
"780","08327049","Trossingen, Stadt",16829,8481,8348
"781","08327050","Tuttlingen, Stadt",35730,17802,17928
"782","08327051","Wehingen",3680,1845,1835
"783","08327054","Wurmlingen",3812,1874,1938
"784","08327055","Seitingen-Oberflacht",2559,1295,1264
"785","08327056","Rietheim-Weilheim",2824,1427,1397
"786","08327057","Emmingen-Liptingen",4714,2370,2344
"787","08335","Konstanz, Landkreis",285325,139046,146279
"788","08335001","Aach, Stadt",2296,1178,1118
"789","08335002","Allensbach",7087,3339,3748
"790","08335015","Büsingen am Hochrhein",1491,736,755
"791","08335021","Eigeltingen",3843,1927,1916
"792","08335022","Engen, Stadt",10796,5390,5406
"793","08335025","Gaienhofen",3480,1697,1783
"794","08335026","Gailingen am Hochrhein",2852,1394,1458
"795","08335028","Gottmadingen",10656,5208,5448
"796","08335035","Hilzingen",8754,4300,4454
"797","08335043","Konstanz, Universitätsstadt",84760,40722,44038
"798","08335055","Moos",3243,1606,1637
"799","08335057","Mühlingen",2482,1264,1218
"800","08335061","Öhningen",3671,1793,1878
"801","08335063","Radolfzell am Bodensee, Stadt",31203,15103,16100
"802","08335066","Reichenau",5307,2738,2569
"803","08335075","Singen (Hohentwiel), Stadt",47723,23162,24561
"804","08335077","Steißlingen",4838,2391,2447
"805","08335079","Stockach, Stadt",17114,8439,8675
"806","08335080","Tengen, Stadt",4584,2290,2294
"807","08335081","Volkertshausen",3114,1531,1583
"808","08335096","Hohenfels",2038,1031,1007
"809","08335097","Mühlhausen-Ehingen",3873,1958,1915
"810","08335098","Bodman-Ludwigshafen",4655,2229,2426
"811","08335099","Orsingen-Nenzingen",3519,1758,1761
"812","08335100","Rielasingen-Worblingen",11946,5862,6084
"813","08336","Lörrach, Landkreis",228639,111981,116658
"814","08336004","Aitern",534,275,259
"815","08336006","Bad Bellingen",4480,2250,2230
"816","08336008","Binzen",3046,1472,1574
"817","08336010","Böllen",100,51,49
"818","08336012","Bürchau",NA,NA,NA
"819","08336014","Efringen-Kirchen",8642,4319,4323
"820","08336019","Eimeldingen",2558,1258,1300
"821","08336020","Elbenschwand",NA,NA,NA
"822","08336024","Fischingen",791,398,393
"823","08336025","Fröhnd",477,239,238
"824","08336034","Hasel",1108,554,554
"825","08336036","Hausen im Wiesental",2393,1181,1212
"826","08336043","Inzlingen",2508,1235,1273
"827","08336045","Kandern, Stadt",8249,4048,4201
"828","08336050","Lörrach, Stadt",49347,23844,25503
"829","08336057","Maulburg",4222,2107,2115
"830","08336060","Neuenweg",NA,NA,NA
"831","08336067","Raich",NA,NA,NA
"832","08336069","Rheinfelden (Baden), Stadt",33074,16251,16823
"833","08336073","Rümmingen",1870,932,938
"834","08336074","Sallneck",NA,NA,NA
"835","08336075","Schallbach",787,391,396
"836","08336078","Schliengen",5651,2763,2888
"837","08336079","Schönau im Schwarzwald, Stadt",2420,1182,1238
"838","08336080","Schönenberg",345,172,173
"839","08336081","Schopfheim, Stadt",19645,9573,10072
"840","08336082","Schwörstadt",2518,1242,1276
"841","08336084","Steinen",10049,4920,5129
"842","08336086","Tegernau",NA,NA,NA
"843","08336087","Todtnau, Stadt",4894,2434,2460
"844","08336089","Tunau",189,98,91
"845","08336090","Utzenfeld",622,312,310
"846","08336091","Weil am Rhein, Stadt",30175,14645,15530
"847","08336094","Wembach",337,167,170
"848","08336096","Wieden",541,277,264
"849","08336097","Wies",NA,NA,NA
"850","08336098","Wieslet",NA,NA,NA
"851","08336100","Wittlingen",942,475,467
"852","08336103","Zell im Wiesental, Stadt",6325,3147,3178
"853","08336104","Malsburg-Marzell",1499,757,742
"854","08336105","Grenzach-Wyhlen",14581,7114,7467
"855","08336106","Häg-Ehrsberg",851,435,416
"856","08336107","Kleines Wiesental",2869,1463,1406
"857","08337","Waldshut, Landkreis",170619,84587,86032
"858","08337002","Albbruck",7335,3686,3649
"859","08337013","Bernau im Schwarzwald",1982,1017,965
"860","08337022","Bonndorf im Schwarzwald, Stadt",6922,3529,3393
"861","08337027","Dachsberg (Südschwarzwald)",1421,694,727
"862","08337030","Dettighofen",1139,584,555
"863","08337032","Dogern",2333,1163,1170
"864","08337038","Görwihl",4273,2130,2143
"865","08337039","Grafenhausen",2235,1136,1099
"866","08337045","Häusern",1316,661,655
"867","08337049","Herrischried",2755,1384,1371
"868","08337051","Höchenschwand",2669,1334,1335
"869","08337053","Hohentengen am Hochrhein",3898,2009,1889
"870","08337059","Ibach",354,160,194
"871","08337060","Jestetten",5276,2560,2716
"872","08337062","Klettgau",7569,3819,3750
"873","08337065","Lauchringen",7724,3759,3965
"874","08337066","Laufenburg (Baden), Stadt",9029,4429,4600
"875","08337070","Lottstetten",2238,1125,1113
"876","08337076","Murg",7041,3499,3542
"877","08337090","Rickenbach",3983,2003,1980
"878","08337096","Bad Säckingen, Stadt",17144,8252,8892
"879","08337097","St. Blasien, Stadt",4009,1971,2038
"880","08337106","Stühlingen, Stadt",5327,2718,2609
"881","08337108","Todtmoos",1963,974,989
"882","08337116","Wehr, Stadt",13098,6414,6684
"883","08337118","Weilheim",3146,1591,1555
"884","08337123","Wutöschingen",6612,3301,3311
"885","08337124","Eggingen",1704,852,852
"886","08337125","Küssaberg",5399,2652,2747
"887","08337126","Waldshut-Tiengen, Stadt",24226,11919,12307
"888","08337127","Wutach",1213,600,613
"889","08337128","Ühlingen-Birkendorf",5286,2662,2624
"890","084","Tübingen, Regierungsbezirk",1856517,923140,933377
"891","08415","Reutlingen, Landkreis",286748,142232,144516
"892","08415014","Dettingen an der Erms",9712,4795,4917
"893","08415019","Eningen unter Achalm",11199,5552,5647
"894","08415027","Gomadingen",2246,1178,1068
"895","08415028","Grabenstetten",1642,840,802
"896","08415029","Grafenberg",2676,1342,1334
"897","08415034","Hayingen, Stadt",2203,1121,1082
"898","08415039","Hülben",2916,1454,1462
"899","08415048","Mehrstetten",1424,732,692
"900","08415050","Metzingen, Stadt",22046,10896,11150
"901","08415053","Münsingen, Stadt",14335,7044,7291
"902","08415058","Pfronstetten",1514,797,717
"903","08415059","Pfullingen, Stadt",18654,9059,9595
"904","08415060","Pliezhausen",9721,4804,4917
"905","08415061","Reutlingen, Stadt",115966,57332,58634
"906","08415062","Riederich",4377,2143,2234
"907","08415073","Trochtelfingen, Stadt",6366,3223,3143
"908","08415078","Bad Urach, Stadt",12472,6208,6264
"909","08415080","Wannweil",5295,2615,2680
"910","08415085","Zwiefalten",2201,1151,1050
"911","08415086","Gutsbezirk Münsingen",NA,NA,NA
"912","08415087","Walddorfhäslach",5227,2601,2626
"913","08415088","Römerstein",3991,2005,1986
"914","08415089","Engstingen",5289,2655,2634
"915","08415090","Hohenstein",3719,1875,1844
"916","08415091","Sonnenbühl",7157,3622,3535
"917","08415092","Lichtenstein",9239,4593,4646
"918","08415093","St. Johann",5161,2595,2566
"919","08415971","Gutsbezirk Münsingen, gemeindefreies Gebiet",NA,NA,NA
"920","08416","Tübingen, Landkreis",227331,110795,116536
"921","08416006","Bodelshausen",5811,2906,2905
"922","08416009","Dettenhausen",5431,2661,2770
"923","08416011","Dußlingen",6225,3078,3147
"924","08416015","Gomaringen",9001,4422,4579
"925","08416018","Hirrlingen",3093,1571,1522
"926","08416022","Kirchentellinsfurt",5611,2766,2845
"927","08416023","Kusterdingen",8597,4322,4275
"928","08416025","Mössingen, Stadt",20480,9987,10493
"929","08416026","Nehren",4343,2154,2189
"930","08416031","Ofterdingen",5088,2540,2548
"931","08416036","Rottenburg am Neckar, Stadt",43723,21718,22005
"932","08416041","Tübingen, Universitätsstadt",90546,43020,47526
"933","08416048","Ammerbuch",11331,5622,5709
"934","08416049","Neustetten",3688,1851,1837
"935","08416050","Starzach",4363,2177,2186
"936","08417","Zollernalbkreis, Landkreis",188935,93808,95127
"937","08417002","Balingen, Stadt",34217,16711,17506
"938","08417008","Bisingen",9423,4652,4771
"939","08417010","Bitz",3638,1758,1880
"940","08417013","Burladingen, Stadt",12146,5973,6173
"941","08417014","Dautmergen",427,225,202
"942","08417015","Dormettingen",1128,571,557
"943","08417016","Dotternhausen",1871,949,922
"944","08417022","Geislingen, Stadt",5881,2967,2914
"945","08417023","Grosselfingen",2221,1101,1120
"946","08417025","Haigerloch, Stadt",10669,5363,5306
"947","08417029","Hausen am Tann",467,245,222
"948","08417031","Hechingen, Stadt",19324,9551,9773
"949","08417036","Jungingen",1346,648,698
"950","08417044","Meßstetten, Stadt",10653,5487,5166
"951","08417045","Nusplingen",1838,923,915
"952","08417047","Obernheim",1458,745,713
"953","08417051","Rangendingen",5255,2579,2676
"954","08417052","Ratshausen",762,393,369
"955","08417054","Rosenfeld, Stadt",6347,3225,3122
"956","08417057","Schömberg, Stadt",4627,2357,2270
"957","08417063","Straßberg",2477,1228,1249
"958","08417071","Weilen unter den Rinnen",613,324,289
"959","08417075","Winterlingen",6351,3111,3240
"960","08417078","Zimmern unter der Burg",469,248,221
"961","08417079","Albstadt, Stadt",45327,22474,22853
"962","08421000","Ulm, Stadtkreis",126329,62660,63669
"963","08425","Alb-Donau-Kreis, Landkreis",196047,99041,97006
"964","08425002","Allmendingen",4439,2207,2232
"965","08425004","Altheim",625,339,286
"966","08425005","Altheim (Alb)",1707,864,843
"967","08425008","Amstetten",4013,2022,1991
"968","08425011","Asselfingen",1028,539,489
"969","08425013","Ballendorf",646,305,341
"970","08425014","Beimerstetten",2511,1253,1258
"971","08425017","Berghülen",1932,981,951
"972","08425019","Bernstadt",2257,1168,1089
"973","08425020","Blaubeuren, Stadt",12521,6360,6161
"974","08425022","Börslingen",164,83,81
"975","08425024","Breitingen",332,162,170
"976","08425028","Dietenheim, Stadt",6715,3356,3359
"977","08425031","Dornstadt",8686,4359,4327
"978","08425033","Ehingen (Donau), Stadt",26259,13352,12907
"979","08425035","Emeringen",144,76,68
"980","08425036","Emerkingen",848,443,405
"981","08425039","Erbach, Stadt",13453,6779,6674
"982","08425050","Griesingen",1039,526,513
"983","08425052","Grundsheim",221,103,118
"984","08425055","Hausen am Bussen",248,122,126
"985","08425062","Holzkirch",275,130,145
"986","08425064","Hüttisheim",1464,710,754
"987","08425066","Illerrieden",3323,1667,1656
"988","08425071","Laichingen, Stadt",11731,5985,5746
"989","08425072","Langenau, Stadt",15247,7663,7584
"990","08425073","Lauterach",569,285,284
"991","08425075","Lonsee",4993,2572,2421
"992","08425079","Merklingen",1996,1002,994
"993","08425081","Munderkingen, Stadt",5292,2634,2658
"994","08425083","Neenstetten",835,419,416
"995","08425084","Nellingen",2044,1066,978
"996","08425085","Nerenstetten",339,168,171
"997","08425088","Oberdischingen",2129,1038,1091
"998","08425090","Obermarchtal",1288,653,635
"999","08425091","Oberstadion",1565,807,758
"1000","08425092","Öllingen",537,276,261
"1001","08425093","Öpfingen",2355,1188,1167
"1002","08425097","Rammingen",1307,691,616
"1003","08425098","Rechtenstein",306,163,143
"1004","08425104","Rottenacker",2194,1151,1043
"1005","08425108","Schelklingen, Stadt",6883,3554,3329
"1006","08425110","Schnürpflingen",1385,691,694
"1007","08425112","Setzingen",693,362,331
"1008","08425123","Untermarchtal",893,355,538
"1009","08425124","Unterstadion",772,390,382
"1010","08425125","Unterwachingen",200,103,97
"1011","08425130","Weidenstetten",1370,719,651
"1012","08425134","Westerheim",3029,1511,1518
"1013","08425135","Westerstetten",2190,1077,1113
"1014","08425137","Illerkirchberg",4826,2441,2385
"1015","08425138","Staig",3155,1581,1574
"1016","08425139","Heroldstatt",2857,1417,1440
"1017","08425140","Balzheim",2056,1056,1000
"1018","08425141","Blaustein, Stadt",16161,8117,8044
"1019","08426","Biberach, Landkreis",199742,100634,99108
"1020","08426001","Achstetten",4920,2473,2447
"1021","08426005","Alleshausen",524,270,254
"1022","08426006","Allmannsweiler",304,162,142
"1023","08426008","Altheim",2111,1060,1051
"1024","08426011","Attenweiler",1934,1026,908
"1025","08426013","Bad Buchau, Stadt",4294,2163,2131
"1026","08426014","Bad Schussenried, Stadt",8734,4429,4305
"1027","08426019","Berkheim",2921,1499,1422
"1028","08426020","Betzenweiler",770,386,384
"1029","08426021","Biberach an der Riß, Stadt",32938,16183,16755
"1030","08426028","Burgrieden",4072,2064,2008
"1031","08426031","Dettingen an der Iller",2439,1225,1214
"1032","08426035","Dürmentingen",2576,1327,1249
"1033","08426036","Dürnau",453,234,219
"1034","08426038","Eberhardzell",4511,2342,2169
"1035","08426043","Erlenmoos",1794,906,888
"1036","08426044","Erolzheim",3342,1700,1642
"1037","08426045","Ertingen",5413,2757,2656
"1038","08426058","Hochdorf",2327,1186,1141
"1039","08426062","Ingoldingen",2969,1531,1438
"1040","08426064","Kanzach",486,234,252
"1041","08426065","Kirchberg an der Iller",2087,1052,1035
"1042","08426066","Kirchdorf an der Iller",3757,1911,1846
"1043","08426067","Langenenslingen",3526,1784,1742
"1044","08426070","Laupheim, Stadt",22298,11126,11172
"1045","08426071","Maselheim",4576,2350,2226
"1046","08426073","Mietingen",4375,2239,2136
"1047","08426074","Mittelbiberach",4403,2167,2236
"1048","08426078","Moosburg",208,101,107
"1049","08426087","Ochsenhausen, Stadt",8856,4509,4347
"1050","08426090","Oggelshausen",956,479,477
"1051","08426097","Riedlingen, Stadt",10528,5329,5199
"1052","08426100","Rot an der Rot",4565,2339,2226
"1053","08426108","Schwendi",6726,3459,3267
"1054","08426109","Seekirch",296,154,142
"1055","08426113","Steinhausen an der Rottum",2141,1099,1042
"1056","08426117","Tannheim",2497,1283,1214
"1057","08426118","Tiefenbach",519,256,263
"1058","08426120","Ummendorf",4327,2159,2168
"1059","08426121","Unlingen",2448,1228,1220
"1060","08426124","Uttenweiler",3590,1824,1766
"1061","08426125","Wain",1646,849,797
"1062","08426128","Warthausen",5318,2627,2691
"1063","08426134","Schemmerhofen",8412,4236,4176
"1064","08426135","Gutenzell-Hürbel",1855,917,938
"1065","08435","Bodenseekreis, Landkreis",216227,106544,109683
"1066","08435005","Bermatingen",4027,1999,2028
"1067","08435010","Daisendorf",1597,786,811
"1068","08435013","Eriskirch",4908,2444,2464
"1069","08435015","Frickingen",2981,1500,1481
"1070","08435016","Friedrichshafen, Stadt",60865,30236,30629
"1071","08435018","Hagnau am Bodensee",1409,685,724
"1072","08435020","Heiligenberg",3042,1532,1510
"1073","08435024","Immenstaad am Bodensee",6532,3244,3288
"1074","08435029","Kressbronn am Bodensee",8720,4349,4371
"1075","08435030","Langenargen",7721,3724,3997
"1076","08435034","Markdorf, Stadt",14031,6949,7082
"1077","08435035","Meckenbeuren",13520,6782,6738
"1078","08435036","Meersburg, Stadt",5944,2834,3110
"1079","08435042","Neukirch",2704,1380,1324
"1080","08435045","Oberteuringen",4979,2500,2479
"1081","08435047","Owingen",4351,2148,2203
"1082","08435052","Salem",11345,5577,5768
"1083","08435053","Sipplingen",2095,1025,1070
"1084","08435054","Stetten",1043,494,549
"1085","08435057","Tettnang, Stadt",19198,9565,9633
"1086","08435059","Überlingen, Stadt",22554,10519,12035
"1087","08435066","Uhldingen-Mühlhofen",8305,4026,4279
"1088","08435067","Deggenhausertal",4356,2246,2110
"1089","08436","Ravensburg, Landkreis",284285,141777,142508
"1090","08436001","Achberg",1743,879,864
"1091","08436003","Aichstetten",2806,1465,1341
"1092","08436004","Aitrach",2726,1422,1304
"1093","08436005","Altshausen",4131,2135,1996
"1094","08436006","Amtzell",4213,2109,2104
"1095","08436008","Aulendorf, Stadt",10180,5149,5031
"1096","08436009","Bad Waldsee, Stadt",20308,9945,10363
"1097","08436010","Bad Wurzach, Stadt",14651,7501,7150
"1098","08436011","Baienfurt",7247,3610,3637
"1099","08436012","Baindt",5223,2588,2635
"1100","08436013","Berg",4435,2236,2199
"1101","08436014","Bergatreute",3138,1618,1520
"1102","08436018","Bodnegg",3213,1647,1566
"1103","08436019","Boms",664,338,326
"1104","08436024","Ebenweiler",1213,630,583
"1105","08436027","Eichstegen",506,254,252
"1106","08436032","Fleischwangen",702,364,338
"1107","08436039","Grünkraut",3218,1628,1590
"1108","08436040","Guggenhausen",189,88,101
"1109","08436047","Hoßkirch",748,383,365
"1110","08436049","Isny im Allgäu, Stadt",14018,7011,7007
"1111","08436052","Kißlegg",9043,4522,4521
"1112","08436053","Königseggwald",675,346,329
"1113","08436055","Leutkirch im Allgäu, Stadt",22803,11470,11333
"1114","08436064","Ravensburg, Stadt",50623,25047,25576
"1115","08436067","Riedhausen",679,343,336
"1116","08436069","Schlier",3882,1956,1926
"1117","08436077","Unterwaldhausen",293,146,147
"1118","08436078","Vogt",4576,2322,2254
"1119","08436079","Waldburg",3142,1567,1575
"1120","08436081","Wangen im Allgäu, Stadt",26905,13131,13774
"1121","08436082","Weingarten, Stadt",24943,11966,12977
"1122","08436083","Wilhelmsdorf",5103,2576,2527
"1123","08436085","Wolfegg",3776,1879,1897
"1124","08436087","Wolpertswende",4176,2118,2058
"1125","08436093","Ebersbach-Musbach",1699,871,828
"1126","08436094","Argenbühl",6527,3314,3213
"1127","08436095","Horgenzell",5419,2802,2617
"1128","08436096","Fronreute",4749,2401,2348
"1129","08437","Sigmaringen, Landkreis",130873,65649,65224
"1130","08437005","Beuron",650,360,290
"1131","08437008","Bingen",2703,1364,1339
"1132","08437031","Gammertingen, Stadt",6320,3242,3078
"1133","08437044","Herbertingen",4792,2449,2343
"1134","08437047","Hettingen, Stadt",1783,911,872
"1135","08437053","Hohentengen",4155,2109,2046
"1136","08437056","Illmensee",2029,1009,1020
"1137","08437059","Inzigkofen",2795,1400,1395
"1138","08437065","Krauchenwies",5007,2528,2479
"1139","08437072","Leibertingen",2118,1071,1047
"1140","08437076","Mengen, Stadt",9896,4983,4913
"1141","08437078","Meßkirch, Stadt",8418,4276,4142
"1142","08437082","Neufra",1852,920,932
"1143","08437086","Ostrach",6757,3415,3342
"1144","08437088","Pfullendorf, Stadt",13437,6671,6766
"1145","08437100","Bad Saulgau, Stadt",17509,8569,8940
"1146","08437101","Scheer, Stadt",2490,1269,1221
"1147","08437102","Schwenningen",1658,837,821
"1148","08437104","Sigmaringen, Stadt",17278,8686,8592
"1149","08437105","Sigmaringendorf",3643,1843,1800
"1150","08437107","Stetten am kalten Markt",4788,2418,2370
"1151","08437114","Veringenstadt, Stadt",2168,1079,1089
"1152","08437118","Wald",2680,1254,1426
"1153","08437123","Sauldorf",2505,1279,1226
"1154","08437124","Herdwangen-Schönach",3442,1707,1735
"1155","__________",NA,NA,NA,NA
